Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [-1.2700291838520007e-15, -2.289882285580284e-15, -1.4308164010138398e-15, 3.8297076780404706e-16, 1.023957935221865e-15, 1.2675701021964394e-15, 3.6212184084309777e-16, 1.9131515877003e-15, 7.576004616145106e-16, 8.728486439211543e-16, -2.8062887802120414e-15, 3.977465022837366e-16, 7.579392518283123e-16, 5.330563453201574e-16, -2.5795053926874803e-15, 1.5783476273687779e-15, -3.1430106016913026e-16, -1.0612101527577212e-15, -3.3254749191439114e-16, 2.523802752080354e-15, 1.1369515426124608e-15, 8.005223004299239e-16, 1.1146079136810166e-15, -1.577361153004954e-15, -1.995079585550568e-15, 9.980091127761861e-16, 3.1902940250167997e-16, -5.423367731616206e-16, 1.0359041539894563e-15, -2.8474828390945177e-16])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.1827    	21.4533    	21.0591    	0.224762   
1  	618   	20.0619    	20.8887    	20.6734    	0.180032   
2  	1146  	19.15      	20.4893    	20.26      	0.196953   
3  	1688  	18.888     	20.0668    	19.8283    	0.230354   
4  	2215  	17.8763    	19.5162    	19.2341    	0.312594   
5  	2753  	16.8012    	18.8748    	18.3845    	0.484356   
6  	3285  	15.9526    	17.9874    	17.4124    	0.43051    
7  	3819  	14.8225    	16.8304    	16.3313    	0.401133   
8  	4331  	14.1288    	15.9377    	15.4531    	0.413411   
9  	4853  	12.2702    	14.9549    	14.4221    	0.483984   
10 	5363  	11.4147    	13.952     	13.3674    	0.506851   
11 	5872  	10.0663    	12.7479    	12.2351    	0.466575   
12 	6395  	9.39045    	11.597     	11.0798    	0.469091   
13 	6925  	8.56727    	10.5904    	10.1695    	0.377506   
14 	7455  	7.84441    	9.73768    	9.24262    	0.390574   
15 	7958  	7.23744    	8.74117    	8.41522    	0.289608   
16 	8468  	6.87545    	8.11963    	7.75073    	0.277096   
17 	8981  	5.94023    	7.35533    	7.05942    	0.251743   
18 	9514  	5.59686    	6.7218     	6.44574    	0.232913   
19 	10040 	5.16941    	6.1578     	5.88972    	0.216789   
20 	10552 	4.84032    	5.59686    	5.39215    	0.185905   
21 	11071 	4.29206    	5.12217    	4.94664    	0.164315   
22 	11592 	3.91317    	4.75235    	4.57501    	0.17788    
23 	12130 	3.56384    	4.38477    	4.20118    	0.178022   
24 	12657 	2.94005    	4.03147    	3.86585    	0.163129   
25 	13163 	2.94005    	3.71409    	3.55435    	0.156648   
26 	13685 	2.86031    	3.37804    	3.23052    	0.139588   
27 	14218 	2.69085    	3.0895     	2.97427    	0.0865083  
28 	14731 	2.33983    	2.82877    	2.72166    	0.0991518  
29 	15254 	2.10395    	2.58057    	2.45559    	0.100839   
30 	15794 	1.64185    	2.32332    	2.20291    	0.116228   
31 	16331 	1.52365    	2.0848     	1.95677    	0.112447   
32 	16881 	1.24065    	1.81285    	1.67984    	0.113041   
33 	17405 	1.00316    	1.52365    	1.40433    	0.0964611  
34 	17939 	0.771707   	1.26978    	1.1645     	0.0935369  
35 	18492 	0.63914    	1.05026    	0.95675    	0.0815884  
36 	19026 	0.5927     	0.842244   	0.7645     	0.0670887  
37 	19547 	0.439727   	0.679491   	0.625137   	0.0510465  
38 	20083 	0.342641   	0.576334   	0.512372   	0.0451347  
39 	20590 	0.281833   	0.45718    	0.416577   	0.0362389  
40 	21128 	0.271614   	0.379894   	0.343846   	0.0245637  
41 	21624 	0.17584    	0.314389   	0.285725   	0.0251172  
42 	22150 	0.172474   	0.257213   	0.234822   	0.0191234  
43 	22714 	0.142266   	0.209563   	0.193736   	0.0142042  
44 	23236 	0.127485   	0.177717   	0.161741   	0.0121795  
45 	23758 	0.0952567  	0.146968   	0.136044   	0.00895676 
46 	24290 	0.0764035  	0.124928   	0.114675   	0.0095096  
47 	24800 	0.0729565  	0.10381    	0.0947017  	0.00769965 
48 	25340 	0.0607655  	0.0847705  	0.0777358  	0.00499173 
49 	25872 	0.0535809  	0.0720096  	0.0665315  	0.00463225 
50 	26412 	0.0423652  	0.0616419  	0.0575347  	0.00372199 
51 	26943 	0.0407889  	0.0533547  	0.0494288  	0.00334022 
52 	27492 	0.0332216  	0.045237   	0.042109   	0.00239736 
53 	28011 	0.0271363  	0.0395785  	0.0368347  	0.00238512 
54 	28557 	0.0247874  	0.0339782  	0.0313861  	0.00216447 
55 	29070 	0.0230782  	0.0291918  	0.0273607  	0.00144604 
56 	29606 	0.0194154  	0.0254837  	0.0239876  	0.00131888 
57 	30110 	0.0165764  	0.0223239  	0.0209379  	0.00120187 
58 	30669 	0.0130198  	0.0194713  	0.0181293  	0.00117665 
59 	31196 	0.0114061  	0.017044   	0.015652   	0.00117173 
60 	31733 	0.0103214  	0.0145383  	0.0135109  	0.000867477
61 	32278 	0.00934305 	0.0125184  	0.0116624  	0.000661092
62 	32828 	0.00878708 	0.0109281  	0.0102792  	0.000507775
63 	33337 	0.00772776 	0.00948722 	0.00895232 	0.000435768
64 	33867 	0.00648908 	0.00827462 	0.00782542 	0.000372528
65 	34402 	0.00549883 	0.00731342 	0.00681724 	0.000392409
66 	34919 	0.00439492 	0.00629825 	0.00586251 	0.000359433
67 	35439 	0.00400541 	0.00543444 	0.00507899 	0.000323627
68 	35992 	0.00356096 	0.00469071 	0.0044188  	0.00021249 
69 	36547 	0.00325615 	0.00409851 	0.00387262 	0.000193598
70 	37048 	0.00272892 	0.00365048 	0.00340744 	0.000202763
71 	37570 	0.00232916 	0.00314975 	0.00293064 	0.000183194
72 	38106 	0.0020435  	0.00271373 	0.00254571 	0.000150126
73 	38644 	0.00178505 	0.00234718 	0.00220653 	0.000133909
74 	39193 	0.00146668 	0.00202787 	0.00190905 	0.000110683
75 	39740 	0.00142698 	0.00177183 	0.00167737 	8.18041e-05
76 	40261 	0.00111467 	0.00156234 	0.00147245 	7.62211e-05
77 	40770 	0.00100045 	0.00139411 	0.00129726 	8.65254e-05
78 	41288 	0.000931691	0.00119421 	0.00111629 	6.56913e-05
79 	41817 	0.000713432	0.0010331  	0.000970289	5.46952e-05
80 	42331 	0.000688581	0.000910285	0.000851276	4.44795e-05
81 	42856 	0.000568483	0.000790306	0.000741108	4.5287e-05 
82 	43392 	0.000545069	0.000690963	0.000644977	3.52555e-05
83 	43928 	0.000401543	0.000596348	0.000554119	4.09712e-05
84 	44459 	0.000381357	0.000518112	0.000478234	3.40104e-05
85 	45028 	0.000317153	0.000439271	0.000407416	2.63644e-05
86 	45548 	0.000279801	0.000378656	0.000357605	1.9705e-05 
87 	46066 	0.000228378	0.000331089	0.000308189	2.12679e-05
88 	46617 	0.00021477 	0.000285775	0.000267136	1.51818e-05
89 	47161 	0.000174847	0.000250796	0.000234024	1.3864e-05 
90 	47705 	0.00016315 	0.000218619	0.000205497	1.18467e-05
91 	48227 	0.000152869	0.0001913  	0.000180439	9.60051e-06
