Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [-9.897752642566366e-16, 1.842231211429207e-17, 6.30334540703426e-16, 4.210753698712779e-16, -1.6913911574215074e-15, 1.993345303081689e-17, -6.508754451490388e-16, -7.865400592322283e-16, -4.5817946297805166e-18, -1.5212279305599136e-15, 2.6149404130372634e-15, 9.295913929202526e-16, -7.6366849919981e-16, -1.4655071892920065e-15, 1.0667413497204488e-15, -2.1458547212965823e-15, 1.022312773202182e-15, 9.956589862671278e-17, -1.424919479777846e-15, -1.6680254701686577e-15, -1.7617810674671335e-15, 6.85687344615096e-16, -1.943928560848188e-15, 2.5012236645519064e-16, 1.8715645817675734e-15, 2.2368736032314115e-15, -9.704404264179672e-16, -2.2632551320351508e-15, 1.1919433458738356e-15, -4.364895188072844e-16])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.3702    	21.4773    	21.0872    	0.22085    
1  	594   	19.943     	20.9198    	20.7043    	0.196731   
2  	1117  	19.2169    	20.5613    	20.3058    	0.221748   
3  	1647  	18.833     	20.0972    	19.8152    	0.274919   
4  	2167  	18.0306    	19.5652    	19.2353    	0.302469   
5  	2673  	17.0382    	18.9479    	18.4912    	0.40677    
6  	3197  	15.2915    	18.0405    	17.6042    	0.416401   
7  	3703  	15.2915    	17.1446    	16.6724    	0.449917   
8  	4257  	13.4338    	16.3065    	15.7192    	0.523527   
9  	4806  	13.1814    	15.2242    	14.6693    	0.447199   
10 	5323  	12.4668    	14.2132    	13.7458    	0.417167   
11 	5869  	11.6268    	13.2493    	12.7678    	0.358575   
12 	6391  	10.6501    	12.3746    	11.8542    	0.404921   
13 	6933  	9.81105    	11.3563    	10.9035    	0.35601    
14 	7487  	8.78488    	10.3063    	9.9498     	0.3465     
15 	8011  	8.0063     	9.54398    	9.13554    	0.338265   
16 	8542  	7.60224    	8.74181    	8.41192    	0.254681   
17 	9091  	6.29783    	8.0063     	7.63764    	0.326628   
18 	9630  	5.74834    	7.3139     	6.992      	0.285129   
19 	10180 	5.56504    	6.6703     	6.30443    	0.258872   
20 	10700 	4.87678    	5.98307    	5.75374    	0.230672   
21 	11236 	4.51736    	5.50609    	5.20591    	0.237475   
22 	11746 	3.99778    	4.96492    	4.73507    	0.202167   
23 	12279 	3.78647    	4.492      	4.27407    	0.150868   
24 	12790 	3.59513    	4.12516    	3.978      	0.112655   
25 	13306 	3.21891    	3.87669    	3.71744    	0.129956   
26 	13834 	3.13401    	3.57831    	3.4351     	0.110905   
27 	14377 	2.66428    	3.31064    	3.19332    	0.118582   
28 	14907 	2.53297    	3.07358    	2.93949    	0.113842   
