Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [1.2241792971834466e-16, 1.88860347885897e-16, 9.357872069240466e-16, 1.97221038598774e-15, 5.102834485416753e-16, -5.510288746259414e-16, 2.026499955581013e-15, 1.6171983843693408e-15, -1.7565481531064418e-15, 2.8312895418315156e-16, 6.014241566156257e-16, 1.916017571570105e-15, -1.789138767077811e-15, -2.8954551567261975e-16, 1.0213151172707616e-15, -3.236073160536939e-16, -3.084770062340372e-16, -5.919465783596275e-16, -1.0831538788415664e-15, -2.6546629772783998e-15, 1.1401592506546059e-16, -1.213867194148948e-15, 2.5779034754461605e-15, 1.1771658808608834e-15, 2.4632810380807506e-15, -5.086569204467736e-16, -2.0399248299122012e-16, -9.30915876339544e-16, 1.1936482595953772e-15, 1.9719702274202185e-15])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.594     	21.501     	21.0439    	0.206626   
1  	654   	19.5705    	20.8607    	20.6786    	0.181122   
2  	1176  	18.884     	20.5425    	20.3377    	0.218679   
3  	1702  	18.5784    	20.1374    	19.8342    	0.335512   
4  	2246  	17.6738    	19.5887    	19.1912    	0.381979   
5  	2774  	17.3533    	18.8452    	18.4286    	0.384455   
6  	3300  	16.1837    	17.9939    	17.5991    	0.369512   
7  	3822  	15.7562    	17.1861    	16.8173    	0.328663   
8  	4349  	14.765     	16.3877    	15.9855    	0.336468   
9  	4887  	12.928     	15.5271    	15.0841    	0.47354    
10 	5411  	12.6353    	14.6286    	14.1452    	0.446286   
11 	5938  	11.4854    	13.6085    	13.0251    	0.443387   
12 	6449  	9.85354    	12.5296    	12.1234    	0.410178   
13 	7009  	9.79908    	11.6767    	11.1577    	0.445707   
14 	7567  	8.96041    	10.6453    	10.2024    	0.403562   
15 	8076  	8.23358    	9.74015    	9.35967    	0.301048   
16 	8605  	7.84612    	8.97352    	8.6859     	0.274461   
17 	9113  	7.31779    	8.2595     	7.96023    	0.245323   
18 	9646  	6.32456    	7.56991    	7.3086     	0.27261    
19 	10196 	5.40135    	7.018      	6.69424    	0.327186   
20 	10742 	5.21788    	6.34347    	6.049      	0.254551   
21 	11267 	4.76432    	5.75941    	5.53233    	0.17117    
22 	11786 	4.48837    	5.32616    	5.12733    	0.192618   
23 	12334 	3.91613    	4.8626     	4.66718    	0.181538   
24 	12859 	3.71879    	4.4494     	4.24319    	0.16666    
