Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [-3.062635815838757e-15, -1.1517657803683345e-15, -9.188787573989458e-16, -3.071522273329111e-15, 5.2360668694058e-16, -8.95830575114685e-16, 7.130319289824914e-16, -7.082233253342553e-16, 5.328067352730751e-16, -3.591687220967725e-16, 1.5863204170728285e-15, -1.6112444801604877e-15, 2.742224704756564e-16, 1.3637150291498171e-15, 1.4548864729220134e-16, -2.3439852509701314e-15, 1.5366734615640638e-15, -1.6747526487248617e-15, -5.143622637847172e-16, -1.492567656259828e-17, -1.7205521638254937e-15, -3.049655829469348e-16, -7.039239568448424e-16, 2.719372826347847e-15, 3.47214453073364e-16, 2.483368428387947e-16, 1.4326226576033328e-15, 5.004996446750197e-16, -1.1761136111103814e-16, -5.638047114890493e-16])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.3293    	21.4719    	21.0391    	0.251594   
1  	598   	19.5752    	20.8482    	20.6678    	0.199747   
2  	1111  	19.5752    	20.5191    	20.2828    	0.181312   
3  	1663  	18.4887    	20.0889    	19.824     	0.270715   
4  	2180  	17.8327    	19.4971    	19.1851    	0.30332    
5  	2682  	16.8575    	18.7801    	18.361     	0.378476   
6  	3204  	16.0585    	17.8374    	17.3813    	0.41802    
7  	3738  	14.814     	16.7814    	16.2328    	0.475625   
8  	4270  	13.9849    	15.7262    	15.2588    	0.430318   
9  	4787  	12.5333    	14.7506    	14.186     	0.483836   
10 	5279  	11.9355    	13.6476    	13.0777    	0.457373   
11 	5801  	10.7504    	12.5333    	12.1006    	0.35774    
12 	6286  	10.1436    	11.6449    	11.2829    	0.29625    
13 	6802  	8.69412    	10.8275    	10.2792    	0.441216   
14 	7315  	7.89316    	9.83919    	9.39606    	0.388779   
15 	7837  	6.92799    	8.92994    	8.46586    	0.419899   
16 	8347  	6.32462    	7.97293    	7.579      	0.36828    
17 	8857  	6.14861    	7.18961    	6.93407    	0.240269   
18 	9381  	5.57712    	6.57225    	6.34182    	0.210732   
19 	9889  	4.91461    	6.0677     	5.85221    	0.222405   
20 	10436 	4.61643    	5.62119    	5.36199    	0.236101   
21 	10967 	4.07061    	5.13933    	4.89728    	0.188055   
22 	11461 	3.84623    	4.74929    	4.56031    	0.180497   
23 	11997 	3.78411    	4.36529    	4.21322    	0.120933   
24 	12501 	3.46295    	4.0812     	3.91603    	0.136218   
25 	13041 	3.01705    	3.79949    	3.64806    	0.144188   
26 	13556 	2.95769    	3.50786    	3.35921    	0.138898   
27 	14064 	2.74733    	3.22506    	3.08109    	0.106231   
28 	14602 	2.44959    	2.95398    	2.82753    	0.110706   
29 	15146 	2.16727    	2.71101    	2.57849    	0.121333   
30 	15653 	1.60542    	2.42683    	2.2795     	0.144763   
31 	16181 	1.4346     	2.12041    	1.9717     	0.134851   
32 	16705 	1.31143    	1.81854    	1.68167    	0.120982   
33 	17231 	1.03045    	1.53961    	1.42084    	0.109193   
34 	17754 	0.836238   	1.26806    	1.15338    	0.0969838  
35 	18264 	0.653392   	1.03739    	0.958171   	0.0807915  
36 	18797 	0.5754     	0.854417   	0.762664   	0.0681668  
37 	19338 	0.415926   	0.677834   	0.615634   	0.0541791  
38 	19855 	0.370323   	0.546303   	0.495653   	0.0384357  
39 	20374 	0.291434   	0.440949   	0.405705   	0.0345454  
40 	20908 	0.227388   	0.367289   	0.337178   	0.0276068  
41 	21449 	0.206962   	0.308629   	0.28462    	0.0207532  
42 	21974 	0.172342   	0.259766   	0.235957   	0.0197225  
43 	22496 	0.126708   	0.212065   	0.195278   	0.0158078  
44 	22979 	0.126708   	0.174661   	0.158254   	0.0148178  
45 	23492 	0.104329   	0.142678   	0.130742   	0.00852561 
46 	24002 	0.0876495  	0.119613   	0.11027    	0.00673721 
47 	24514 	0.0689074  	0.102127   	0.0948206  	0.00661633 
48 	25032 	0.0637164  	0.0858318  	0.0800772  	0.00496677 
49 	25588 	0.0508409  	0.0744214  	0.0689588  	0.00447857 
50 	26094 	0.0480525  	0.0637164  	0.0587058  	0.00401926 
51 	26626 	0.0372085  	0.0541022  	0.05055    	0.00309731 
