Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [5.254276384737874e-16, -4.686528915801994e-16, 2.5189421708654746e-15, 7.437573468818379e-16, 6.755777560668072e-17, -1.1060401407837902e-15, 1.1163620966742195e-15, -2.0118640764149916e-15, -1.354697758391864e-15, 6.378888887268805e-16, -1.1901930370461687e-15, 4.546305555348211e-16, -5.849434825627794e-16, -4.47713071143397e-16, 8.518594569875929e-16, -3.1784396728594406e-15, 8.49265309395765e-16, -2.218640966940017e-15, -1.2836772491712836e-17, 7.902251757224908e-16, 1.1421866390008156e-16, 8.362692701373023e-16, -6.014817675675513e-16, -1.5688093416242098e-15, 2.322982484785551e-15, 1.8194391312735126e-15, 8.856576541905117e-16, 1.0712475268367775e-15, -1.9759278404595542e-15, 1.272173170071514e-15])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.4071    	21.4901    	21.0387    	0.238834   
1  	620   	20.2639    	20.8894    	20.7404    	0.143336   
2  	1133  	19.3401    	20.628     	20.4544    	0.183928   
3  	1640  	19.3401    	20.3284    	20.1048    	0.228559   
4  	2172  	18.9798    	19.8673    	19.6057    	0.198888   
5  	2682  	18.1985    	19.3458    	19.041     	0.288006   
6  	3196  	15.8571    	18.6498    	18.2638    	0.436231   
7  	3740  	15.8571    	17.7982    	17.3186    	0.486673   
8  	4279  	15.0183    	16.8651    	16.3701    	0.415946   
9  	4843  	14.0173    	15.9317    	15.4195    	0.404442   
10 	5359  	12.3795    	14.9172    	14.4328    	0.445581   
11 	5876  	12.0998    	13.9067    	13.4224    	0.462407   
12 	6398  	11.4031    	12.9025    	12.4031    	0.366252   
13 	6911  	9.95326    	11.9053    	11.3906    	0.410161   
14 	7435  	8.4898     	10.8544    	10.4165    	0.428632   
15 	7965  	8.04439    	9.96633    	9.55743    	0.38471    
16 	8466  	7.63441    	9.18079    	8.68968    	0.384915   
17 	8986  	6.75705    	8.14871    	7.85219    	0.289565   
18 	9519  	5.88277    	7.56637    	7.20837    	0.309533   
19 	10058 	5.2374     	6.88868    	6.52499    	0.341171   
