Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [-3.879235820908768e-16, -1.7307839675485049e-15, 1.0591266655696003e-15, -1.0859327286995275e-15, 1.2426278293693282e-15, -2.310364583866824e-15, 1.0492235713181137e-15, -1.0483402080188318e-15, -1.3477251094152241e-15, -1.1373136872475865e-15, -1.9026462871457862e-15, -5.850291060950402e-16, -6.071320864941095e-16, 6.113687160660071e-16, 2.0813424548314838e-16, -1.6730267109288286e-16, -5.388350373024288e-16, 2.66371315357586e-15, -8.162597569501717e-16, 2.3227110124861248e-15, 9.61043322432218e-16, -1.2621039817799897e-15, -1.601218775642617e-15, 9.787074948015488e-16, 9.504976914999999e-16, -7.8625047350678375e-16, 9.966484560070553e-16, -1.525789598380528e-15, 2.690567234225311e-16, 3.8509197123306907e-16])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.3472    	21.5091    	21.0318    	0.234172   
1  	636   	19.8968    	20.8672    	20.687     	0.147837   
2  	1170  	19.4904    	20.5425    	20.3245    	0.232104   
3  	1693  	19.049     	20.0599    	19.823     	0.19735    
4  	2207  	18.2606    	19.582     	19.3014    	0.28775    
5  	2765  	17.3669    	18.9609    	18.6216    	0.325995   
6  	3298  	16.0748    	18.295     	17.9279    	0.376835   
7  	3784  	15.8817    	17.5074    	17.09      	0.319612   
8  	4304  	14.6954    	16.685     	16.2095    	0.422262   
9  	4847  	13.4888    	15.6867    	15.1595    	0.443417   
10 	5391  	12.2299    	14.6642    	14.0911    	0.484438   
11 	5914  	11.9987    	13.5759    	13.0391    	0.424718   
12 	6418  	10.6901    	12.4862    	12.0459    	0.396498   
13 	6954  	9.67525    	11.533     	11.0822    	0.347934   
14 	7490  	9.00378    	10.6265    	10.2118    	0.39014    
15 	8024  	7.89014    	9.8107     	9.38092    	0.409185   
16 	8560  	7.3753     	8.95994    	8.57929    	0.30421    
17 	9118  	5.91131    	8.27242    	7.85523    	0.385134   
18 	9635  	5.88538    	7.50571    	7.13518    	0.340935   
19 	10167 	5.73548    	6.80558    	6.51441    	0.260587   
20 	10691 	5.24031    	6.27099    	6.00628    	0.223088   
21 	11203 	4.77666    	5.73142    	5.50994    	0.183278   
22 	11700 	4.32286    	5.31754    	5.08887    	0.203588   
23 	12217 	4.16144    	4.87837    	4.67844    	0.16546    
24 	12743 	3.75389    	4.5153     	4.31359    	0.172528   
25 	13280 	3.62897    	4.14878    	3.97907    	0.13992    
26 	13814 	3.23054    	3.80834    	3.66982    	0.130552   
27 	14331 	3.09821    	3.57184    	3.4286     	0.111513   
28 	14864 	2.71299    	3.29635    	3.16696    	0.122839   
29 	15379 	2.42891    	3.03809    	2.91331    	0.116456   
30 	15892 	2.31735    	2.80752    	2.67551    	0.111545   
31 	16417 	1.80799    	2.57057    	2.42447    	0.129475   
32 	16944 	1.80799    	2.30686    	2.15053    	0.120777   
33 	17474 	1.49384    	1.99335    	1.88569    	0.0920475  
34 	17991 	1.13504    	1.73152    	1.61721    	0.119234   
35 	18501 	1.08796    	1.47056    	1.34887    	0.100238   
36 	19032 	0.783253   	1.2147     	1.12076    	0.0789196  
37 	19604 	0.540861   	1.01677    	0.926667   	0.0804413  
38 	20160 	0.540861   	0.833205   	0.75924    	0.06118    
39 	20685 	0.502645   	0.684917   	0.632012   	0.0388763  
40 	21215 	0.41626    	0.577409   	0.527187   	0.0402476  
41 	21760 	0.312861   	0.478768   	0.43894    	0.0359007  
42 	22287 	0.269147   	0.403462   	0.3652     	0.0297122  
43 	22800 	0.229051   	0.325364   	0.29677    	0.022305   
44 	23335 	0.185747   	0.266484   	0.244808   	0.0188934  
45 	23839 	0.143653   	0.222772   	0.205072   	0.0148609  
46 	24354 	0.126595   	0.19026    	0.174401   	0.0132054  
47 	24902 	0.11123    	0.161154   	0.146707   	0.0106151  
48 	25423 	0.0954181  	0.131455   	0.121424   	0.00806661 
49 	25964 	0.0800713  	0.110346   	0.101671   	0.006764   
50 	26497 	0.0665739  	0.0939367  	0.0864468  	0.00580429 
51 	27039 	0.0562151  	0.0795099  	0.0740173  	0.00533507 
52 	27544 	0.0494274  	0.0674924  	0.0631681  	0.00345206 
53 	28072 	0.0434806  	0.0582964  	0.0544398  	0.00338455 
54 	28582 	0.0360789  	0.0493006  	0.046253   	0.00296357 
55 	29116 	0.033891   	0.0429387  	0.0396121  	0.00237471 
56 	29635 	0.0221296  	0.0361539  	0.0337148  	0.00255655 
57 	30157 	0.0232786  	0.0307832  	0.0286279  	0.00175763 
58 	30694 	0.0200528  	0.0261802  	0.0244574  	0.00149252 
59 	31223 	0.0178148  	0.0223991  	0.021165   	0.00104978 
60 	31745 	0.0145988  	0.0197598  	0.018321   	0.0011799  
61 	32265 	0.0129824  	0.0171121  	0.0158564  	0.00103024 
62 	32811 	0.0101733  	0.0145988  	0.0134509  	0.000911683
63 	33351 	0.00968872 	0.0123516  	0.0115079  	0.000632009
64 	33884 	0.00766534 	0.010613   	0.009929   	0.000618048
65 	34415 	0.00724175 	0.00910253 	0.00849111 	0.000478499
66 	34961 	0.0054001  	0.00771972 	0.00735246 	0.000409962
67 	35488 	0.00476985 	0.00680174 	0.0063198  	0.000390242
68 	36010 	0.00445001 	0.00584807 	0.00550409 	0.000302052
69 	36526 	0.00370957 	0.00511969 	0.00478386 	0.000296662
70 	37054 	0.00323681 	0.00444032 	0.00416166 	0.000260527
71 	37571 	0.0028393  	0.00382702 	0.00355077 	0.000240452
72 	38095 	0.00263293 	0.00328911 	0.00308389 	0.000158286
73 	38596 	0.00213675 	0.00288286 	0.00275544 	0.000145618
74 	39103 	0.00180375 	0.00258712 	0.00240197 	0.000159551
75 	39624 	0.00177468 	0.00222523 	0.002096   	0.000108201
76 	40173 	0.00150198 	0.00196705 	0.00185364 	9.6932e-05 
77 	40684 	0.00125969 	0.00173361 	0.00161118 	0.000102027
78 	41220 	0.00119922 	0.00147844 	0.00138572 	7.23015e-05
79 	41736 	0.000874916	0.0012906  	0.0012233  	7.32273e-05
80 	42251 	0.000842205	0.00113807 	0.00105561 	6.12514e-05
81 	42783 	0.000787264	0.000981185	0.000921142	4.72661e-05
82 	43303 	0.000655898	0.000853527	0.000803139	4.53097e-05
83 	43817 	0.000576989	0.000747385	0.000697978	3.8379e-05 
84 	44343 	0.000536185	0.000654596	0.00061138 	3.0125e-05 
85 	44870 	0.000431426	0.000570257	0.000534168	3.24636e-05
86 	45421 	0.000387202	0.000493573	0.000460837	2.57889e-05
87 	45967 	0.000283986	0.000426972	0.000401254	2.48694e-05
88 	46491 	0.000283986	0.000375474	0.000349402	1.98835e-05
89 	47004 	0.000260796	0.00032887 	0.00030545 	1.72309e-05
90 	47510 	0.000232793	0.000285338	0.000269653	1.33292e-05
91 	48023 	0.000197147	0.00025004 	0.000235109	1.1897e-05 
92 	48575 	0.000147302	0.000220659	0.000205823	1.36906e-05
93 	49106 	0.00012845 	0.000193471	0.000177811	1.39731e-05
94 	49629 	0.000108828	0.000163153	0.000152111	9.19185e-06
95 	50180 	0.000108828	0.00014371 	0.000134038	8.65722e-06
96 	50719 	8.90838e-05	0.000124234	0.000115628	7.51771e-06
97 	51266 	7.39903e-05	0.000109593	0.000101071	6.57517e-06
98 	51816 	6.4593e-05 	9.21709e-05	8.58078e-05	6.20513e-06
99 	52358 	5.80225e-05	7.89467e-05	7.44235e-05	4.28346e-06
100	52874 	5.47944e-05	6.90932e-05	6.47271e-05	3.48428e-06
101	53409 	4.27283e-05	5.99217e-05	5.63197e-05	3.20547e-06
