Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [1.07190588423773e-15, -1.9724195097554278e-15, -7.445971086846642e-17, -3.0393478999053176e-16, -3.0006501689027755e-16, 1.5317132658742755e-16, -9.25923615690639e-16, -1.5712095301703507e-16, -9.707535383734662e-16, -6.379206534477109e-16, -1.1875567546462055e-15, 2.808136888950773e-16, 1.535207218184479e-15, -3.3180658034024585e-16, -1.6524692139408702e-15, 5.950132627748762e-16, 1.0076262229440867e-15, -3.2874126190939533e-16, -1.1391365475768935e-15, 4.82089963424157e-17, 9.210082035498456e-16, -1.843144079593937e-15, -2.372737710997666e-16, -3.322328934019491e-15, -2.0181145024112099e-16, -2.4164718343147694e-15, -1.3391870498265684e-15, -2.5532879785928835e-16, -2.0294131798018556e-16, 1.7307922961332265e-15])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.1932    	21.5036    	21.035     	0.230741   
1  	618   	19.8138    	20.8361    	20.6652    	0.164303   
2  	1152  	19.3788    	20.5212    	20.3227    	0.178208   
3  	1675  	18.7878    	20.1807    	19.8823    	0.309025   
4  	2215  	18.3494    	19.6416    	19.2824    	0.299204   
5  	2740  	17.2277    	18.9763    	18.5815    	0.360375   
6  	3268  	16.7441    	18.1274    	17.7268    	0.34248    
7  	3809  	15.025     	17.2523    	16.7737    	0.442781   
8  	4345  	14.2415    	16.3183    	15.844     	0.467681   
9  	4871  	13.0218    	15.3335    	14.8637    	0.415314   
10 	5379  	12.1864    	14.417     	13.9449    	0.478681   
11 	5885  	11.6       	13.4357    	12.8988    	0.427452   
12 	6423  	10.8466    	12.3557    	11.9534    	0.351317   
13 	6919  	9.56599    	11.4177    	10.9262    	0.444822   
14 	7475  	8.5185     	10.4175    	9.98091    	0.36528    
15 	7987  	8.24523    	9.52902    	9.16382    	0.297303   
16 	8517  	7.46773    	8.83668    	8.50372    	0.303349   
17 	9053  	6.72043    	8.13543    	7.76191    	0.311805   
18 	9584  	5.8649     	7.4178     	7.07146    	0.31278    
19 	10070 	5.80287    	6.74834    	6.50831    	0.215965   
20 	10599 	4.83703    	6.26037    	5.98833    	0.225791   
21 	11120 	4.77563    	5.77025    	5.50913    	0.228379   
22 	11620 	4.3448     	5.24999    	5.0273     	0.185602   
23 	12157 	4.15883    	4.8159     	4.63165    	0.145845   
24 	12673 	3.84111    	4.48652    	4.29464    	0.155777   
25 	13191 	3.54422    	4.1333     	3.99623    	0.118086   
26 	13715 	3.25651    	3.86612    	3.72697    	0.118493   
27 	14251 	3.13904    	3.60916    	3.48786    	0.108618   
28 	14785 	2.94108    	3.36461    	3.26073    	0.080353   
29 	15314 	2.70938    	3.1676     	3.02905    	0.117565   
30 	15862 	2.23635    	2.92741    	2.79752    	0.119522   
31 	16356 	2.17371    	2.64797    	2.50987    	0.114432   
32 	16902 	1.75957    	2.36063    	2.26163    	0.104659   
33 	17421 	1.60891    	2.12888    	1.9966     	0.108613   
34 	17927 	1.38989    	1.84453    	1.72913    	0.105376   
35 	18433 	1.2641     	1.59036    	1.49136    	0.0791994  
36 	18974 	0.819479   	1.35208    	1.24522    	0.102291   
37 	19486 	0.681873   	1.13221    	1.03563    	0.0791398  
38 	20009 	0.588455   	0.933609   	0.851385   	0.0735186  
39 	20546 	0.559089   	0.749353   	0.684751   	0.0504006  
40 	21055 	0.410485   	0.612139   	0.560394   	0.0414281  
41 	21554 	0.325001   	0.502805   	0.458197   	0.0334942  
42 	22092 	0.309473   	0.410128   	0.376496   	0.0251682  
43 	22617 	0.2344     	0.339085   	0.316996   	0.0197603  
44 	23157 	0.212166   	0.283078   	0.260103   	0.0186074  
45 	23681 	0.162459   	0.232927   	0.217114   	0.0141103  
46 	24184 	0.138973   	0.196328   	0.179921   	0.0132418  
47 	24734 	0.113497   	0.161475   	0.149688   	0.0103914  
48 	25255 	0.0967293  	0.134826   	0.125069   	0.00859514 
49 	25778 	0.0735651  	0.113626   	0.105343   	0.0078255  
50 	26304 	0.0661798  	0.0967293  	0.0895578  	0.00673862 
51 	26842 	0.0630286  	0.0815114  	0.0760296  	0.00469454 
52 	27378 	0.0520509  	0.0681818  	0.0644495  	0.00348433 
53 	27901 	0.0448744  	0.0590195  	0.0553763  	0.00293275 
54 	28378 	0.0346618  	0.0519205  	0.0487765  	0.00324879 
55 	28915 	0.0303468  	0.0443201  	0.0410787  	0.00293638 
56 	29449 	0.0257921  	0.0374314  	0.034416   	0.00270451 
57 	29988 	0.0225029  	0.03128    	0.0292752  	0.00186922 
58 	30527 	0.0185397  	0.0273654  	0.0254045  	0.00181778 
59 	31068 	0.0172677  	0.0231305  	0.0215221  	0.00122725 
60 	31611 	0.0130254  	0.019819   	0.0183554  	0.00118902 
61 	32095 	0.012382   	0.0170866  	0.01584    	0.000990001
62 	32625 	0.0108428  	0.0146468  	0.0137111  	0.000788182
63 	33127 	0.00951467 	0.0128198  	0.012018   	0.000685788
64 	33649 	0.00819284 	0.0111628  	0.0104359  	0.000617949
65 	34171 	0.00691711 	0.00968392 	0.00896272 	0.000596068
66 	34707 	0.00569203 	0.00819284 	0.00754163 	0.000596742
67 	35271 	0.00463736 	0.00681077 	0.00621607 	0.000458555
68 	35808 	0.0043889  	0.00572049 	0.00530503 	0.000310162
69 	36329 	0.00379802 	0.00488671 	0.00458529 	0.000251287
70 	36842 	0.00305971 	0.00421743 	0.00394368 	0.000230457
71 	37350 	0.00278123 	0.00366489 	0.00342957 	0.000186225
72 	37887 	0.00248265 	0.00321363 	0.00303156 	0.000173175
73 	38420 	0.0021954  	0.00280165 	0.00265967 	0.000123282
74 	38932 	0.0017712  	0.00247439 	0.00234332 	0.000128661
75 	39462 	0.00149069 	0.0021954  	0.00205628 	0.000134706
76 	40006 	0.0014376  	0.00187368 	0.00175158 	0.000106735
77 	40514 	0.00131148 	0.00162861 	0.00152649 	7.49739e-05
78 	41044 	0.00110382 	0.00142413 	0.00133444 	7.70228e-05
79 	41579 	0.000983653	0.00123123 	0.00116679 	5.10896e-05
80 	42108 	0.000867016	0.00109238 	0.00103309 	5.21117e-05
81 	42634 	0.000731392	0.000957366	0.000899784	4.78578e-05
82 	43175 	0.000568253	0.000839333	0.000781976	5.17659e-05
83 	43707 	0.000490657	0.000722127	0.000666814	4.59847e-05
84 	44236 	0.00043752 	0.000619604	0.000571025	3.7578e-05 
85 	44734 	0.000403708	0.00053134 	0.000503217	2.72623e-05
