Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [1.4787945811151305e-15, -2.9885106877862622e-15, 5.215986841849666e-16, -9.081382126097964e-16, -1.3513950864473083e-16, -2.5121840289779216e-15, 1.1747723364161413e-15, 5.681889335064064e-16, -1.2506022200634534e-15, 1.4677193044338324e-15, 2.0028534970430046e-15, 5.511308869045473e-16, -1.3809226347247703e-15, -1.4418937550387602e-16, 3.8126268314699513e-16, -2.705841177235539e-16, 1.9572857690021654e-15, 1.9901873650376036e-15, -1.007093730430788e-15, 1.5618881673089603e-15, -3.535700874481154e-16, 2.989782797000503e-16, -1.4628414902453397e-16, -5.757966692383995e-16, -1.44486690305862e-15, -9.101450465093446e-16, -3.120813639685172e-16, -2.3733196546248423e-15, -5.412247959563065e-16, 1.8255078550412838e-15])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.285     	21.6058    	21.0338    	0.255067   
1  	632   	20.0053    	20.8647    	20.6591    	0.192651   
2  	1154  	19.5521    	20.5067    	20.2997    	0.17876    
3  	1676  	18.9052    	20.1182    	19.8316    	0.267713   
4  	2212  	17.2447    	19.5882    	19.2108    	0.385901   
5  	2726  	16.5991    	18.9018    	18.4288    	0.45503    
6  	3256  	15.8903    	17.9437    	17.4799    	0.384618   
7  	3792  	15.3971    	17.1099    	16.6616    	0.392881   
8  	4280  	14.3273    	16.1868    	15.7238    	0.372241   
9  	4807  	13.8241    	15.2702    	14.8274    	0.329525   
10 	5335  	11.1785    	14.3377    	13.8252    	0.566204   
11 	5883  	11.1785    	13.2575    	12.7629    	0.410003   
12 	6408  	10.5948    	12.2376    	11.7903    	0.376427   
13 	6924  	9.89005    	11.2985    	10.9066    	0.286879   
14 	7448  	9.11917    	10.4913    	10.1212    	0.317805   
15 	7960  	7.64309    	9.73142    	9.32268    	0.341002   
16 	8490  	7.37248    	8.84509    	8.47564    	0.346155   
17 	9010  	6.78398    	8.10396    	7.75059    	0.284526   
18 	9535  	6.47484    	7.45651    	7.18313    	0.234024   
19 	10068 	5.79325    	6.85421    	6.62103    	0.214601   
