Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [4.0732260887726797e-16, -1.6720288987285736e-15, -2.401583782837902e-16, -2.4454014707468126e-15, -1.6024612452142258e-15, -2.646014211388522e-16, 3.024732106002202e-16, 1.3717044927445833e-16, 1.2819096336203849e-15, -3.114681865803133e-15, 1.3574138994692483e-15, 4.0625905790947417e-16, -5.011374971468226e-16, -1.8208287738692825e-15, -7.708610270902012e-16, -1.2438146299161014e-15, 1.4167401827259051e-15, 7.264250763210501e-16, -2.244646050979438e-16, 2.4402559935545247e-15, -2.0727008112161058e-15, 1.3830636903858602e-15, -6.938039606693163e-16, 8.011195958091773e-16, 1.9746086460782417e-15, 7.92272283458305e-16, 4.3731198235047476e-16, 7.19071689233533e-16, 4.1736325844277896e-16, -9.434774794519351e-17])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.0796    	21.4773    	21.0647    	0.241916   
1  	616   	19.2479    	20.8851    	20.7149    	0.206102   
2  	1132  	18.9202    	20.5616    	20.3033    	0.317801   
3  	1674  	18.8641    	20.0958    	19.7499    	0.346832   
4  	2218  	18.1348    	19.3326    	19.0738    	0.266383   
5  	2746  	17.4581    	18.8047    	18.4468    	0.279483   
6  	3260  	15.8006    	18.0194    	17.566     	0.405203   
7  	3789  	14.6997    	17.0328    	16.6133    	0.442415   
8  	4311  	14.2043    	16.1429    	15.6166    	0.490382   
9  	4839  	12.3581    	14.9327    	14.4304    	0.568858   
10 	5367  	12.2411    	13.8829    	13.3972    	0.38963    
11 	5893  	10.7087    	12.9436    	12.449     	0.418248   
12 	6444  	9.12754    	11.8276    	11.4624    	0.398654   
13 	6959  	8.75761    	11.047     	10.4971    	0.49746    
14 	7500  	8.72346    	9.96895    	9.5561     	0.330975   
15 	8022  	7.7277     	9.15409    	8.81741    	0.265307   
16 	8537  	7.01883    	8.4988     	8.21619    	0.27305    
17 	9081  	6.82804    	7.91682    	7.61763    	0.243007   
18 	9592  	6.02386    	7.26849    	7.00089    	0.253881   
19 	10121 	5.48202    	6.68208    	6.4144     	0.233012   
20 	10652 	5.24976    	6.14463    	5.89593    	0.210882   
21 	11178 	4.50994    	5.64627    	5.40909    	0.20455    
22 	11728 	4.28993    	5.15821    	4.95395    	0.18554    
23 	12233 	3.8463     	4.76539    	4.56857    	0.163879   
24 	12738 	3.77338    	4.41449    	4.26016    	0.113302   
25 	13267 	3.58084    	4.13828    	4.01295    	0.129299   
26 	13800 	3.31516    	3.85848    	3.72489    	0.124522   
27 	14331 	3.1351     	3.58229    	3.47098    	0.0960542  
28 	14867 	2.55101    	3.37526    	3.23709    	0.146034   
29 	15380 	2.55101    	3.09028    	2.97022    	0.11403    
30 	15897 	2.41145    	2.85948    	2.72565    	0.103859   
31 	16438 	1.96049    	2.58568    	2.43986    	0.129842   
32 	16983 	1.21197    	2.27832    	2.12654    	0.151403   
33 	17511 	1.21197    	1.96456    	1.83395    	0.14978    
34 	18029 	1.20068    	1.71695    	1.53569    	0.160938   
35 	18540 	0.900422   	1.3522     	1.23428    	0.099508   
36 	19056 	0.645489   	1.11271    	1.00087    	0.0932568  
37 	19553 	0.591733   	0.878851   	0.799725   	0.060609   
38 	20074 	0.520773   	0.726126   	0.66061    	0.0496665  
39 	20606 	0.408472   	0.576874   	0.536923   	0.0360501  
40 	21124 	0.379359   	0.493904   	0.452251   	0.0299843  
41 	21634 	0.299981   	0.410147   	0.384185   	0.0250606  
42 	22160 	0.200183   	0.344156   	0.319416   	0.0254493  
43 	22664 	0.209588   	0.287388   	0.263305   	0.0182384  
44 	23203 	0.170694   	0.242899   	0.223233   	0.0158036  
45 	23745 	0.131767   	0.203363   	0.186689   	0.014166   
46 	24275 	0.112394   	0.169531   	0.154025   	0.0119813  
47 	24804 	0.0949908  	0.139547   	0.12999    	0.00915621 
48 	25310 	0.0869086  	0.118827   	0.110203   	0.00715122 
49 	25821 	0.0689502  	0.100347   	0.0936703  	0.00540994 
50 	26323 	0.0604115  	0.086608   	0.0810362  	0.00566997 
51 	26867 	0.0562493  	0.0748654  	0.0694003  	0.00488531 
52 	27388 	0.0464177  	0.0627925  	0.0589437  	0.00317091 
53 	27897 	0.0361152  	0.0535983  	0.0502736  	0.00323464 
54 	28437 	0.0328401  	0.0466643  	0.0429953  	0.0032849  
55 	28980 	0.028081   	0.0384789  	0.036026   	0.00210122 
56 	29512 	0.0250259  	0.0337957  	0.0314578  	0.0019154  
57 	30039 	0.0211553  	0.0291066  	0.0272959  	0.00168995 
58 	30576 	0.0164414  	0.0251834  	0.0236578  	0.00153903 
59 	31132 	0.0158182  	0.0215597  	0.0199968  	0.00125967 
60 	31656 	0.0128187  	0.0185704  	0.0171153  	0.00107344 
61 	32177 	0.0115725  	0.0158358  	0.0146255  	0.0010723  
62 	32720 	0.00868536 	0.0133453  	0.0124962  	0.000826807
63 	33245 	0.00868536 	0.0114584  	0.0106326  	0.000667706
64 	33762 	0.00713636 	0.00989985 	0.00929874 	0.000495679
65 	34292 	0.00636014 	0.0086449  	0.00811766 	0.00049042 
66 	34822 	0.00538495 	0.00756284 	0.00694221 	0.000470481
67 	35356 	0.0048304  	0.00622597 	0.0058729  	0.000299287
68 	35885 	0.00399327 	0.00544851 	0.00509111 	0.000319352
69 	36452 	0.00329314 	0.00470621 	0.00442561 	0.000270033
70 	36971 	0.00296441 	0.0040917  	0.00382532 	0.000254513
71 	37507 	0.0028127  	0.00350614 	0.0032666  	0.000164909
72 	38026 	0.00201993 	0.00305473 	0.00285615 	0.000180664
73 	38555 	0.00203803 	0.00263415 	0.00247844 	0.000150811
74 	39091 	0.0017762  	0.00228535 	0.00213129 	0.000117591
75 	39618 	0.00157268 	0.00198706 	0.00187786 	8.88763e-05
76 	40128 	0.00119652 	0.00175455 	0.00165377 	9.82936e-05
77 	40696 	0.00110181 	0.00154761 	0.00142924 	9.62581e-05
78 	41209 	0.000969781	0.00132929 	0.00123002 	7.91373e-05
79 	41725 	0.000883602	0.00113202 	0.00106914 	5.11343e-05
80 	42268 	0.000777326	0.000996762	0.000940798	4.46419e-05
81 	42805 	0.000650379	0.000883602	0.000821171	5.24965e-05
82 	43329 	0.000558192	0.000752454	0.000710586	3.715e-05  
83 	43868 	0.000519827	0.000659412	0.000621318	3.32744e-05
84 	44382 	0.000449456	0.000572493	0.000540014	2.72945e-05
85 	44938 	0.000389788	0.00050362 	0.000473827	2.33214e-05
86 	45487 	0.000340994	0.000443694	0.000415697	2.73946e-05
87 	46017 	0.000320274	0.000386254	0.000363123	1.69596e-05
88 	46510 	0.000244848	0.000341408	0.000323796	1.53989e-05
89 	47069 	0.000224364	0.000302862	0.000284864	1.62811e-05
90 	47596 	0.00019678 	0.000264107	0.000248072	1.32019e-05
91 	48113 	0.000172715	0.000231167	0.000218305	1.22573e-05
92 	48671 	0.00016429 	0.000202408	0.000190608	9.518e-06  
93 	49215 	0.000135912	0.000177247	0.000168124	8.6106e-06 
94 	49755 	0.000108761	0.000157417	0.00014327 	1.16008e-05
95 	50253 	9.74229e-05	0.000130021	0.000121092	6.72698e-06
96 	50786 	8.68199e-05	0.000112777	0.000105257	5.89367e-06
97 	51297 	7.27731e-05	9.74229e-05	9.11163e-05	5.55375e-06
98 	51838 	5.81211e-05	8.41664e-05	7.84062e-05	4.83495e-06
99 	52382 	5.09427e-05	7.37224e-05	6.93649e-05	4.14379e-06
100	52908 	5.05479e-05	6.46901e-05	6.10249e-05	3.42393e-06
101	53436 	4.24367e-05	5.59895e-05	5.23249e-05	3.00384e-06
102	53971 	3.50216e-05	4.82399e-05	4.48051e-05	2.90174e-06
103	54505 	2.86586e-05	4.12787e-05	3.85532e-05	2.3802e-06 
104	55038 	2.74543e-05	3.59188e-05	3.35899e-05	2.06768e-06
105	55552 	2.4407e-05 	3.09724e-05	2.89996e-05	1.53119e-06
106	56068 	1.91064e-05	2.70351e-05	2.51324e-05	1.69477e-06
107	56617 	1.70498e-05	2.32486e-05	2.1664e-05 	1.3587e-06 
108	57160 	1.57855e-05	1.99377e-05	1.87459e-05	8.82714e-07
109	57687 	1.35106e-05	1.76923e-05	1.65108e-05	1.00169e-06
110	58229 	1.13473e-05	1.51626e-05	1.39833e-05	8.66828e-07
111	58749 	1.01453e-05	1.29355e-05	1.20438e-05	6.36943e-07
112	59298 	7.50082e-06	1.12844e-05	1.05519e-05	6.82724e-07
113	59843 	7.28195e-06	9.87675e-06	9.26305e-06	6.18492e-07
114	60391 	5.58158e-06	8.45645e-06	7.87961e-06	4.94812e-07
115	60958 	5.31858e-06	7.22421e-06	6.71691e-06	4.46142e-07
116	61489 	4.91432e-06	6.29869e-06	5.86296e-06	3.57135e-07
117	62019 	4.53931e-06	5.46057e-06	5.18869e-06	2.09327e-07
118	62566 	3.51543e-06	4.87982e-06	4.62688e-06	2.09912e-07
119	63119 	2.77653e-06	4.35163e-06	4.04312e-06	2.61607e-07
120	63679 	2.53887e-06	3.75997e-06	3.48187e-06	2.26886e-07
121	64202 	2.2956e-06 	3.21927e-06	3.01309e-06	1.79301e-07
122	64700 	2.16766e-06	2.80482e-06	2.63149e-06	1.39423e-07
123	65239 	1.8066e-06 	2.44525e-06	2.29408e-06	1.15327e-07
124	65791 	1.54217e-06	2.15591e-06	2.01225e-06	1.28268e-07
125	66322 	1.3516e-06 	1.85228e-06	1.69435e-06	1.17558e-07
126	66842 	1.27687e-06	1.58806e-06	1.49098e-06	7.88627e-08
127	67367 	1.03847e-06	1.37678e-06	1.29822e-06	7.26935e-08
128	67882 	8.29941e-07	1.22278e-06	1.13532e-06	7.41065e-08
129	68406 	8.29941e-07	1.04642e-06	9.8761e-07 	6.00116e-08
130	68960 	6.76837e-07	9.22541e-07	8.61291e-07	5.07978e-08
