Best Score: 3.552713678800501e-15
Best Individual: Individual('d', [-8.6640295014693e-16, 6.673745731992151e-16, 1.0756139444170995e-15, 1.7560143729216567e-15, 7.1620826652895e-16, 4.419247859602527e-19, 6.350253456745912e-16, -9.140300380720677e-16, -3.9938598437072275e-16, 1.281919361655386e-15, -2.4090845452826757e-15, -7.67690206518788e-18, -1.057450416533108e-15, 2.8323387535854484e-16, 4.567953097170602e-16, -6.846448836304207e-16, -7.603882762273588e-16, -1.6884084092825754e-15, 5.942686625436847e-16, -1.6506328035740993e-15, 7.188720163647478e-16, 1.0188316500982198e-15, 3.8241017165456693e-16, 2.0029784316698063e-15, 2.3856671373489817e-15, 9.507536399899275e-16, -8.469072344784918e-16, 1.3980591019887227e-17, -1.8186934183163966e-15, -1.5565836865931834e-15])

History: 
gen	evals 	min        	max        	avg        	std        
0  	100   	20.5118    	21.579     	21.0309    	0.244335   
1  	644   	20.0422    	20.866     	20.6911    	0.138209   
2  	1194  	19.6934    	20.5972    	20.4275    	0.174917   
3  	1718  	18.9356    	20.2255    	19.9779    	0.250871   
4  	2239  	18.4723    	19.7539    	19.4924    	0.254438   
5  	2761  	17.6951    	19.1875    	18.7615    	0.364571   
6  	3285  	16.0175    	18.3744    	17.9468    	0.420991   
7  	3771  	14.5627    	17.5541    	17.0906    	0.460357   
8  	4307  	14.2845    	16.5914    	16.062     	0.488081   
9  	4809  	13.1312    	15.4818    	15.006     	0.428437   
10 	5337  	11.9292    	14.4284    	13.9609    	0.501599   
11 	5865  	11.6997    	13.4525    	12.9268    	0.432995   
12 	6420  	10.2406    	12.3745    	11.9061    	0.410116   
13 	6968  	10.0381    	11.4448    	10.946     	0.385045   
14 	7505  	8.13832    	10.4119    	9.99888    	0.458012   
15 	8005  	7.7981     	9.44808    	8.96507    	0.415894   
16 	8519  	6.94507    	8.49534    	8.12848    	0.325841   
17 	9067  	6.15576    	7.64987    	7.31717    	0.304825   
18 	9582  	5.59332    	6.98279    	6.65771    	0.28555    
19 	10118 	5.57306    	6.34065    	6.0949     	0.189774   
20 	10650 	4.91714    	5.84996    	5.62311    	0.208537   
21 	11162 	4.48508    	5.33788    	5.13083    	0.177012   
22 	11687 	4.17848    	4.92639    	4.72399    	0.17735    
23 	12219 	4.00846    	4.54401    	4.36298    	0.13424    
24 	12755 	3.56481    	4.21903    	4.07831    	0.127443   
25 	13282 	3.17183    	3.96233    	3.80525    	0.143829   
