Best Score: 6.902583960607403e-11
Best Individual: Individual('d', [6.796039809995525e-11, -1.065441491150458e-12])

History: 
gen	evals	min        	max        	avg        	std        
0  	10   	21.3219    	223.616    	122.155    	64.4124    
1  	72   	5.23132    	46.5838    	31.4943    	10.4752    
2  	136  	2.24578    	12.3251    	8.26881    	3.34521    
3  	198  	1.19964    	3.76312    	2.27491    	0.905087   
4  	259  	0.61896    	1.36012    	1.20656    	0.206417   
5  	323  	0.110795   	1.039      	0.710316   	0.293199   
6  	388  	0.0653974  	0.301837   	0.195103   	0.0642357  
7  	449  	0.0230975  	0.0782196  	0.0559205  	0.0194098  
8  	510  	0.0133705  	0.0308397  	0.0227088  	0.00633789 
9  	574  	0.00241817 	0.0164598  	0.00923443 	0.00504878 
10 	634  	0.00148166 	0.00470851 	0.00312455 	0.00120392 
11 	692  	0.000959257	0.00148166 	0.00129612 	0.000179927
12 	754  	0.000370162	0.000959257	0.000717137	0.000184867
13 	812  	0.000230012	0.000423841	0.000347639	5.74852e-05
14 	876  	5.19234e-05	0.000293732	0.000237397	7.04328e-05
15 	936  	4.52432e-05	0.000177225	0.000112734	4.69746e-05
16 	1002 	2.29494e-05	4.52432e-05	3.80817e-05	7.25668e-06
17 	1062 	1.16218e-05	3.46917e-05	2.78535e-05	6.51886e-06
18 	1125 	3.92318e-06	1.89659e-05	1.08229e-05	4.29517e-06
19 	1185 	1.58957e-06	5.35116e-06	4.00143e-06	9.56023e-07
20 	1248 	1.52241e-06	2.61855e-06	1.7971e-06 	3.25115e-07
21 	1314 	5.53403e-07	1.52241e-06	1.24978e-06	3.30602e-07
22 	1372 	1.73162e-07	9.11208e-07	6.56279e-07	1.95409e-07
23 	1433 	8.99066e-08	2.80609e-07	1.96967e-07	5.51897e-08
24 	1495 	4.03889e-08	8.93134e-08	7.43891e-08	1.66179e-08
25 	1554 	6.41253e-09	5.75091e-08	3.65658e-08	1.52694e-08
26 	1620 	3.45093e-09	1.3437e-08 	8.30248e-09	3.50445e-09
27 	1684 	1.32538e-09	4.30838e-09	3.56266e-09	8.72063e-10
28 	1748 	1.15979e-09	2.45542e-09	1.69062e-09	5.3195e-10 
29 	1812 	2.25097e-10	1.06085e-09	7.61849e-10	2.50916e-10
30 	1870 	1.1981e-10 	5.48878e-10	2.95711e-10	1.24127e-10
31 	1930 	6.90258e-11	1.58449e-10	1.32792e-10	2.69965e-11
