Best Score: 0.00011309149626157246
Best Individual: Individual('d', [0.00011305101658871922, 3.282140146658304e-10])

History: 
gen	evals	min        	max        	avg        	std        
0  	10   	64.7105    	308.048    	148.925    	70.5069    
1  	64   	12.719     	54.8592    	41.5294    	11.9777    
2  	123  	4.88133    	26.3941    	15.806     	6.19754    
3  	190  	3.2864     	6.89449    	5.51539    	1.01633    
4  	251  	1.01003    	3.65413    	2.78952    	0.849379   
5  	315  	0.255476   	1.18381    	0.982117   	0.250371   
6  	381  	0.0523655  	0.482033   	0.233984   	0.130711   
7  	441  	0.0359116  	0.0564864  	0.0502556  	0.00779745 
8  	504  	0.00668449 	0.0349772  	0.0212268  	0.0108436  
9  	565  	0.0040594  	0.00642975 	0.00550598 	0.000841007
10 	627  	0.000951205	0.00495204 	0.00421789 	0.00116494 
11 	688  	0.000951205	0.00382632 	0.00239568 	0.00124548 
12 	753  	0.000533481	0.000951205	0.000793248	0.000154934
13 	812  	0.000323087	0.000607589	0.000550525	8.18441e-05
14 	876  	0.00022694 	0.000394095	0.000326478	5.0449e-05 
15 	935  	0.000168785	0.000266255	0.000235331	3.15085e-05
16 	993  	0.000140218	0.000193075	0.0001745  	1.78569e-05
17 	1054 	0.00012309 	0.000159321	0.000143578	1.04497e-05
18 	1115 	0.000119471	0.000133676	0.000126356	4.67864e-06
19 	1177 	0.000115629	0.000120841	0.000119165	1.65866e-06
20 	1236 	0.000114324	0.000116732	0.000115757	6.69322e-07
21 	1294 	0.000113799	0.000114555	0.000114262	2.30409e-07
22 	1356 	0.000113606	0.000114014	0.000113903	1.24921e-07
23 	1417 	0.00011341 	0.000113663	0.000113588	6.93384e-08
24 	1479 	0.000113373	0.0001135  	0.000113448	4.17863e-08
25 	1548 	0.000113252	0.000113333	0.000113297	2.6937e-08 
26 	1609 	0.000113197	0.000113262	0.000113243	1.93708e-08
27 	1672 	0.000113181	0.000113226	0.000113207	1.51096e-08
28 	1734 	0.000113156	0.000113191	0.000113181	1.03999e-08
29 	1791 	0.000113118	0.000113168	0.000113146	1.6361e-08 
30 	1853 	0.00011312 	0.00011313 	0.000113125	3.24681e-09
31 	1902 	0.000113098	0.000113119	0.00011311 	5.87989e-09
32 	1965 	0.000113091	0.000113105	0.0001131  	4.71633e-09
