Best Score: 3.9302102606028713e-11
Best Individual: Individual('d', [-2.135611489476352e-11, -1.794598770641252e-11])

History: 
gen	evals	min        	max        	avg        	std        
0  	10   	60.1781    	223.263    	136.554    	55.4913    
1  	72   	11.9206    	68.0776    	45.7307    	20.3026    
2  	130  	8.5802     	26.3048    	17.8606    	4.92681    
3  	193  	3.10014    	11.9206    	7.77155    	2.54102    
4  	254  	1.27638    	3.39547    	2.69204    	0.728985   
5  	320  	0.257573   	1.53585    	1.21449    	0.351852   
6  	380  	0.0343544  	0.740486   	0.355188   	0.244906   
7  	438  	0.0567532  	0.13786    	0.100757   	0.0280486  
8  	499  	0.0424382  	0.0796357  	0.0626603  	0.0100911  
9  	553  	0.0274932  	0.0506091  	0.0415335  	0.00685449 
10 	612  	0.0108518  	0.0327059  	0.0235916  	0.00735377 
11 	675  	0.00432305 	0.0122721  	0.00918246 	0.00245823 
12 	735  	0.00166036 	0.00505631 	0.00370869 	0.00111424 
13 	789  	0.00103252 	0.0025292  	0.00173944 	0.000474051
14 	849  	0.000349172	0.00105375 	0.00066534 	0.000208065
15 	909  	7.5853e-05 	0.0005061  	0.000384656	0.000120963
16 	963  	6.60989e-05	0.000174548	8.88116e-05	3.03517e-05
17 	1029 	8.35759e-06	6.25705e-05	2.82738e-05	1.74315e-05
18 	1095 	3.1113e-06 	1.32075e-05	9.3771e-06 	2.96184e-06
19 	1157 	2.62734e-06	6.8739e-06 	5.17582e-06	1.30967e-06
20 	1220 	1.20887e-06	2.75138e-06	2.21602e-06	5.56218e-07
21 	1280 	1.14618e-07	1.20887e-06	8.71966e-07	3.43768e-07
22 	1342 	5.73722e-08	3.78424e-07	2.74651e-07	1.13312e-07
23 	1404 	7.57573e-09	1.14618e-07	6.80945e-08	3.12976e-08
24 	1465 	7.57573e-09	3.55507e-08	2.11706e-08	9.40832e-09
25 	1529 	2.91752e-09	1.01122e-08	6.92353e-09	2.35708e-09
26 	1588 	1.49349e-09	3.10991e-09	2.62414e-09	5.58249e-10
27 	1654 	7.81903e-10	2.29568e-09	1.72962e-09	5.4434e-10 
28 	1718 	6.35379e-10	1.16314e-09	9.11724e-10	1.70585e-10
29 	1773 	6.35379e-10	7.25466e-10	6.63184e-10	3.25323e-11
30 	1832 	1.47073e-10	6.35379e-10	4.76184e-10	1.89134e-10
31 	1897 	6.57628e-11	2.30434e-10	1.59554e-10	5.00217e-11
32 	1954 	3.93021e-11	9.40346e-11	7.39065e-11	1.601e-11  
