Best Score: 1.2216962405086419e-09
Best Individual: Individual('d', [-9.965743931071388e-11, 1.12203879650897e-09])

History: 
gen	evals	min        	max        	avg        	std        
0  	10   	53.9423    	225.934    	142.694    	58.1339    
1  	72   	11.8913    	53.9423    	37.7753    	11.8739    
2  	133  	3.13271    	15.3759    	10.5323    	3.29846    
3  	188  	0.835172   	7.48487    	4.67262    	2.23222    
4  	251  	0.372695   	2.90302    	1.69702    	0.809534   
5  	308  	0.156244   	0.679937   	0.460707   	0.201172   
6  	365  	0.0682155  	0.156244   	0.117182   	0.0358494  
7  	423  	0.040871   	0.0819695  	0.069049   	0.0122759  
8  	485  	0.0154344  	0.0449133  	0.0361452  	0.010142   
9  	548  	0.00775218 	0.0204201  	0.0157118  	0.00334526 
10 	610  	0.00204535 	0.00775218 	0.00602523 	0.00185241 
11 	667  	0.000992079	0.00329083 	0.00229352 	0.000762669
12 	726  	0.00072051 	0.00135727 	0.00104961 	0.000154969
13 	785  	0.000539812	0.000952307	0.000791187	0.000137149
14 	850  	0.000288171	0.000539812	0.000476543	7.6009e-05 
15 	914  	0.000276788	0.000380085	0.000319597	3.59631e-05
16 	970  	0.000155852	0.000276788	0.000246865	4.12455e-05
17 	1037 	0.000103605	0.000163879	0.000137241	1.98497e-05
18 	1097 	8.34592e-05	0.000113052	0.000101739	8.33805e-06
19 	1159 	5.52674e-05	8.92368e-05	7.90182e-05	1.14928e-05
20 	1218 	1.80419e-05	6.48981e-05	4.77186e-05	1.56542e-05
21 	1277 	1.33601e-05	2.43294e-05	2.06793e-05	3.45307e-06
22 	1339 	1.33601e-05	1.80419e-05	1.6024e-05 	1.72713e-06
23 	1401 	6.70182e-06	1.34105e-05	1.15766e-05	2.07993e-06
24 	1461 	2.24863e-06	6.70182e-06	5.30237e-06	1.3544e-06 
25 	1527 	7.3117e-07 	3.74107e-06	2.18002e-06	8.67117e-07
26 	1595 	1.05363e-07	9.67562e-07	6.41192e-07	3.02195e-07
27 	1650 	4.52983e-08	2.75236e-07	1.68392e-07	6.04061e-08
28 	1711 	2.74623e-08	8.37749e-08	5.50338e-08	1.71612e-08
29 	1769 	1.24444e-08	2.74623e-08	2.56423e-08	4.43592e-09
30 	1835 	4.28981e-09	1.79458e-08	1.42017e-08	3.96188e-09
31 	1897 	2.01593e-09	8.98128e-09	5.7537e-09 	1.94506e-09
32 	1953 	1.2217e-09 	2.95902e-09	2.33962e-09	6.55636e-10
