Best Score: 9.614926646481515e-06
Best Individual: Individual('d', [4.5660403754175087e-07, 9.157451476116162e-06])

History: 
gen	evals	min        	max        	avg        	std        
0  	10   	83.0645    	196.613    	123.97     	30.7915    
1  	50   	13.6756    	65.406     	45.5117    	15.3882    
2  	88   	13.6756    	30.2632    	23.3646    	6.9428     
3  	128  	1.87547    	13.6756    	12.1901    	3.51659    
4  	164  	1.87547    	11.194     	6.17513    	3.26781    
5  	206  	1.53817    	3.41796    	1.9898     	0.486431   
6  	240  	0.219014   	1.87547    	1.45039    	0.557504   
7  	271  	0.219014   	1.18868    	0.734167   	0.311532   
8  	307  	0.053327   	0.520389   	0.215391   	0.115585   
9  	335  	0.053327   	0.191944   	0.148722   	0.0511002  
10 	372  	0.0298751  	0.108195   	0.0581432  	0.0239853  
11 	405  	0.0129377  	0.0298751  	0.0243254  	0.00704338 
12 	431  	0.00328772 	0.0135489  	0.0116296  	0.00302597 
13 	462  	0.00262078 	0.0101546  	0.00697216 	0.00324412 
14 	495  	0.001798   	0.00328772 	0.00255197 	0.000453632
15 	517  	0.000274349	0.00206031 	0.00156872 	0.000551141
16 	546  	0.000254517	0.000679613	0.00032612 	0.000120896
17 	571  	2.65165e-05	0.000263579	0.000175816	8.68238e-05
18 	598  	1.98135e-05	9.41603e-05	6.82766e-05	2.5174e-05 
19 	616  	1.43169e-05	6.17652e-05	3.60291e-05	1.81766e-05
20 	636  	1.27378e-05	1.98135e-05	1.62651e-05	2.75808e-06
21 	672  	9.61493e-06	1.43169e-05	1.32825e-05	1.42322e-06
22 	699  	1.08779e-05	1.24117e-05	1.19936e-05	5.34812e-07
23 	721  	1.08779e-05	1.14997e-05	1.10632e-05	2.79137e-07
24 	754  	1.06438e-05	1.08779e-05	1.08376e-05	8.19107e-08
25 	782  	1.0606e-05 	1.0795e-05 	1.06845e-05	5.4279e-08 
26 	807  	1.05131e-05	1.0606e-05 	1.0582e-05 	3.20796e-08
27 	843  	1.04794e-05	1.05546e-05	1.05341e-05	2.3819e-08 
28 	878  	1.04694e-05	1.05131e-05	1.05018e-05	1.22495e-08
29 	910  	1.04692e-05	1.04995e-05	1.04946e-05	8.654e-09  
30 	937  	1.04579e-05	1.04952e-05	1.04814e-05	1.33531e-08
31 	963  	1.04565e-05	1.04579e-05	1.04577e-05	4.30645e-10
32 	996  	1.04556e-05	1.04575e-05	1.04567e-05	6.11164e-10
33 	1020 	1.04542e-05	1.04565e-05	1.04559e-05	6.75379e-10
34 	1050 	1.04542e-05	1.04556e-05	1.04554e-05	4.12891e-10
35 	1069 	1.04542e-05	1.04555e-05	1.04553e-05	3.83578e-10
36 	1099 	1.04542e-05	1.04552e-05	1.04546e-05	3.50049e-10
37 	1133 	1.04539e-05	1.04543e-05	1.04542e-05	1.32305e-10
38 	1165 	1.04539e-05	1.0454e-05 	1.0454e-05 	3.36345e-11
39 	1190 	1.04538e-05	1.04539e-05	1.04539e-05	2.86546e-11
40 	1213 	1.04538e-05	1.04539e-05	1.04539e-05	2.99814e-11
41 	1235 	1.04538e-05	1.04539e-05	1.04538e-05	1.67801e-11
42 	1262 	1.04538e-05	1.04538e-05	1.04538e-05	1.33879e-11
43 	1293 	1.04538e-05	1.04538e-05	1.04538e-05	3.14081e-12
44 	1311 	1.04538e-05	1.04538e-05	1.04538e-05	2.84517e-12
45 	1337 	1.04538e-05	1.04538e-05	1.04538e-05	3.84026e-12
46 	1360 	1.04538e-05	1.04538e-05	1.04538e-05	4.94072e-12
47 	1390 	1.04538e-05	1.04538e-05	1.04538e-05	6.13976e-12
48 	1420 	1.04538e-05	1.04538e-05	1.04538e-05	3.87059e-13
49 	1445 	1.04538e-05	1.04538e-05	1.04538e-05	5.77573e-13
50 	1470 	1.04538e-05	1.04538e-05	1.04538e-05	2.04856e-13
51 	1496 	1.04538e-05	1.04538e-05	1.04538e-05	0          
52 	1521 	1.04538e-05	1.04538e-05	1.04538e-05	0          
53 	1545 	1.04538e-05	1.04538e-05	1.04538e-05	0          
54 	1571 	1.04538e-05	1.04538e-05	1.04538e-05	0          
55 	1600 	1.04538e-05	1.04538e-05	1.04538e-05	0          
56 	1625 	1.04538e-05	1.04538e-05	1.04538e-05	0          
57 	1650 	1.04538e-05	1.04538e-05	1.04538e-05	0          
58 	1670 	1.04538e-05	1.04538e-05	1.04538e-05	0          
59 	1692 	1.04538e-05	1.04538e-05	1.04538e-05	0          
60 	1715 	1.04538e-05	1.04538e-05	1.04538e-05	0          
61 	1741 	1.04538e-05	1.04538e-05	1.04538e-05	0          
62 	1760 	1.04538e-05	1.04538e-05	1.04538e-05	0          
63 	1778 	1.04538e-05	1.04538e-05	1.04538e-05	0          
64 	1807 	1.04538e-05	1.04538e-05	1.04538e-05	0          
65 	1831 	1.04538e-05	1.04538e-05	1.04538e-05	0          
66 	1862 	1.04538e-05	1.04538e-05	1.04538e-05	0          
67 	1892 	1.04538e-05	1.04538e-05	1.04538e-05	0          
68 	1923 	1.04538e-05	1.04538e-05	1.04538e-05	0          
69 	1947 	1.04538e-05	1.04538e-05	1.04538e-05	0          
70 	1974 	1.04538e-05	1.04538e-05	1.04538e-05	0          
