Best Score: 0.00698200323117102
Best Individual: Individual('d', [0.00363174797251984, 0.002942924169677706])

History: 
gen	evals	min      	max      	avg      	std        
0  	10   	35.7397  	217.307  	143.711  	64.827     
1  	48   	35.7397  	77.6603  	53.5861  	16.8548    
2  	86   	31.8734  	35.7397  	35.3531  	1.15989    
3  	130  	28.5404  	35.7397  	33.8599  	2.47663    
4  	166  	26.1515  	31.8734  	29.9868  	1.87899    
5  	200  	25.3989  	31.8734  	29.4078  	1.87099    
6  	234  	23.7931  	29.714   	28.1418  	1.62631    
7  	266  	14.7808  	23.7931  	21.8562  	3.15093    
8  	305  	14.7808  	21.22    	18.1232  	2.3818     
9  	342  	14.7808  	17.3199  	15.83    	1.05852    
10 	373  	14.7808  	14.7808  	14.7808  	1.77636e-15
11 	415  	14.7808  	14.7808  	14.7808  	1.77636e-15
12 	447  	14.7808  	14.7808  	14.7808  	1.77636e-15
13 	479  	14.7808  	14.7808  	14.7808  	1.77636e-15
14 	514  	14.7808  	14.7808  	14.7808  	1.77636e-15
15 	544  	14.7808  	14.7808  	14.7808  	1.91484e-14
16 	570  	14.7808  	14.7808  	14.7808  	6.55088e-15
17 	595  	14.7808  	14.7808  	14.7808  	1.77636e-15
18 	629  	14.7808  	14.7808  	14.7808  	1.77636e-15
19 	661  	14.7808  	14.7808  	14.7808  	1.77636e-15
20 	679  	14.7808  	14.7808  	14.7808  	1.77636e-15
21 	716  	13.9323  	14.7808  	14.696   	0.25455    
22 	748  	13.9323  	14.7808  	14.5263  	0.388831   
23 	781  	13.9323  	14.7808  	14.102   	0.339399   
24 	819  	13.9323  	13.9323  	13.9323  	0          
25 	850  	13.9323  	13.9323  	13.9323  	0          
26 	878  	13.9323  	13.9323  	13.9323  	0          
27 	912  	13.9323  	13.9323  	13.9323  	0          
28 	941  	13.9323  	13.9323  	13.9323  	0          
29 	965  	13.9323  	13.9323  	13.9323  	0          
30 	1002 	13.9323  	13.9323  	13.9323  	0          
31 	1028 	13.9323  	13.9323  	13.9323  	0          
32 	1049 	13.9323  	13.9323  	13.9323  	0          
33 	1077 	12.9929  	13.9323  	13.8384  	0.281827   
34 	1113 	12.9929  	13.9323  	13.8384  	0.281827   
35 	1138 	12.9929  	13.9323  	13.3686  	0.460221   
36 	1165 	12.9929  	12.9929  	12.9929  	0          
37 	1188 	11.7645  	12.9929  	12.87    	0.368515   
38 	1215 	11.7645  	12.9929  	12.4946  	0.562562   
39 	1241 	7.29931  	11.7645  	10.7055  	1.44444    
40 	1269 	7.29931  	9.98279  	9.14737  	0.926847   
41 	1299 	7.29931  	9.50426  	8.54206  	0.993219   
42 	1328 	5.48437  	7.35743  	7.12558  	0.547761   
43 	1358 	5.28324  	7.29931  	6.6317   	0.810795   
44 	1385 	5.28324  	6.12421  	5.64291  	0.310531   
45 	1413 	5.28324  	5.28324  	5.28324  	0          
46 	1437 	3.26989  	5.28324  	5.01827  	0.612897   
47 	1463 	2.09142  	5.28324  	4.29611  	1.00905    
48 	1490 	1.693    	3.27083  	2.43987  	0.549494   
49 	1514 	1.693    	2.09142  	2.02311  	0.138961   
50 	1539 	1.693    	2.09142  	1.83884  	0.156896   
51 	1567 	0.898854 	1.693    	1.504    	0.297056   
52 	1589 	0.755355 	1.68706  	1.06301  	0.25511    
53 	1615 	0.755355 	0.898854 	0.841455 	0.0702997  
54 	1642 	0.41519  	0.755355 	0.695804 	0.120603   
55 	1670 	0.41519  	0.755355 	0.525431 	0.119455   
56 	1693 	0.41519  	0.439332 	0.425853 	0.0113825  
57 	1723 	0.145622 	0.41519  	0.387042 	0.0805192  
58 	1739 	0.145622 	0.405867 	0.221782 	0.116442   
59 	1765 	0.0370711	0.145622 	0.134767 	0.0325652  
60 	1789 	0.006982 	0.0729732	0.0376524	0.0148018  
61 	1816 	0.006982 	0.0370711	0.0207052	0.0138062  
62 	1841 	0.006982 	0.006982 	0.006982 	1.73472e-18
63 	1867 	0.006982 	0.006982 	0.006982 	1.73472e-18
64 	1897 	0.006982 	0.006982 	0.006982 	1.73472e-18
65 	1919 	0.006982 	0.006982 	0.006982 	1.73472e-18
66 	1946 	0.006982 	0.006982 	0.006982 	1.73472e-18
67 	1973 	0.006982 	0.006982 	0.006982 	1.73472e-18
