Best Score: 0.003306265614563456
Best Individual: Individual('d', [-0.0032061552014982404, 3.0588641300301685e-06])

History: 
gen	evals	min       	max       	avg       	std        
0  	10   	68.4613   	249.342   	152.343   	52.0981    
1  	48   	30.4535   	96.7863   	77.4476   	19.4373    
2  	88   	19.0016   	51.3326   	31.8551   	8.30511    
3  	124  	12.4642   	25.0983   	20.5007   	3.49268    
4  	156  	8.67833   	19.0016   	14.9543   	3.06041    
5  	194  	5.16392   	10.9579   	8.79607   	1.88965    
6  	223  	4.9717    	6.5008    	5.73189   	0.478277   
7  	253  	0.41445   	5.16392   	4.45525   	1.44153    
8  	287  	0.41445   	3.05776   	1.1949    	1.02099    
9  	320  	0.140731  	0.41445   	0.326468  	0.0924125  
10 	357  	0.0485674 	0.19528   	0.135946  	0.0351265  
11 	394  	0.0364021 	0.104219  	0.0607897 	0.0218188  
12 	430  	0.0228822 	0.0345655 	0.0287264 	0.00422978 
13 	464  	0.0184068 	0.0217613 	0.0199835 	0.00125055 
14 	490  	0.00810069	0.0184068 	0.0165725 	0.0032883  
15 	519  	0.00645536	0.0125534 	0.00893287	0.0018078  
16 	551  	0.00458273	0.00722237	0.00635713	0.00086726 
17 	579  	0.0041836 	0.00509258	0.00467257	0.000304404
18 	603  	0.00387924	0.00442358	0.00424871	0.000185362
19 	634  	0.00386322	0.0041836 	0.00403287	0.000121885
20 	659  	0.00342669	0.00386322	0.00379229	0.000133237
21 	687  	0.00342669	0.00367893	0.00352156	0.000109302
22 	724  	0.00338509	0.00342669	0.00342017	1.36458e-05
23 	753  	0.00334183	0.00341954	0.00339143	2.34957e-05
24 	776  	0.00333871	0.00336766	0.0033529 	1.08487e-05
25 	801  	0.00333827	0.00334284	0.00334029	1.77081e-06
26 	828  	0.00332518	0.00333871	0.00333532	4.64858e-06
27 	858  	0.00330887	0.00332959	0.00332101	7.53592e-06
28 	887  	0.00330761	0.00331127	0.00330973	9.63171e-07
29 	924  	0.00330756	0.00330908	0.00330844	5.29457e-07
30 	944  	0.00330713	0.00330801	0.00330767	2.49107e-07
31 	976  	0.00330673	0.00330756	0.00330718	2.64172e-07
32 	1013 	0.00330674	0.00330701	0.00330686	9.29128e-08
33 	1035 	0.00330664	0.00330677	0.00330674	3.76398e-08
34 	1062 	0.00330639	0.00330674	0.00330661	1.33221e-07
35 	1088 	0.00330634	0.00330646	0.00330643	3.99512e-08
36 	1117 	0.0033063 	0.00330639	0.00330637	3.03384e-08
37 	1143 	0.00330627	0.00330634	0.00330631	2.6431e-08 
38 	1173 	0.00330627	0.0033063 	0.00330628	1.51998e-08
39 	1202 	0.00330627	0.00330627	0.00330627	2.22544e-09
40 	1240 	0.00330627	0.00330627	0.00330627	1.37142e-19
41 	1263 	0.00330627	0.00330627	0.00330627	0          
42 	1287 	0.00330627	0.00330627	0.00330627	0          
43 	1310 	0.00330627	0.00330627	0.00330627	0          
44 	1340 	0.00330627	0.00330627	0.00330627	1.37142e-19
45 	1371 	0.00330627	0.00330627	0.00330627	1.93948e-19
46 	1394 	0.00330627	0.00330627	0.00330627	0          
47 	1421 	0.00330627	0.00330627	0.00330627	0          
48 	1438 	0.00330627	0.00330627	0.00330627	0          
49 	1462 	0.00330627	0.00330627	0.00330627	0          
50 	1487 	0.00330627	0.00330627	0.00330627	0          
51 	1512 	0.00330627	0.00330627	0.00330627	0          
52 	1539 	0.00330627	0.00330627	0.00330627	0          
53 	1565 	0.00330627	0.00330627	0.00330627	0          
54 	1591 	0.00330627	0.00330627	0.00330627	0          
55 	1616 	0.00330627	0.00330627	0.00330627	0          
56 	1638 	0.00330627	0.00330627	0.00330627	0          
57 	1659 	0.00330627	0.00330627	0.00330627	0          
58 	1684 	0.00330627	0.00330627	0.00330627	1.93948e-19
59 	1711 	0.00330627	0.00330627	0.00330627	3.87896e-19
60 	1725 	0.00330627	0.00330627	0.00330627	4.33681e-19
61 	1744 	0.00330627	0.00330627	0.00330627	4.33681e-19
62 	1765 	0.00330627	0.00330627	0.00330627	5.48568e-19
63 	1791 	0.00330627	0.00330627	0.00330627	0          
64 	1818 	0.00330627	0.00330627	0.00330627	0          
65 	1840 	0.00330627	0.00330627	0.00330627	0          
66 	1869 	0.00330627	0.00330627	0.00330627	0          
67 	1892 	0.00330627	0.00330627	0.00330627	0          
68 	1921 	0.00330627	0.00330627	0.00330627	0          
69 	1952 	0.00330627	0.00330627	0.00330627	0          
