Best Score: 0.0010578139391513347
Best Individual: Individual('d', [-0.0005951310252684441, 0.00045234209247510407])

History: 
gen	evals	min       	max       	avg       	std        
0  	10   	6.66224   	323.589   	171.42    	91.2089    
1  	50   	6.66224   	109.836   	49.2475   	32.8488    
2  	94   	4.22426   	34.6985   	20.6241   	10.1659    
3  	123  	4.22426   	11.2588   	6.9496    	2.26675    
4  	159  	2.12687   	4.22426   	3.35952   	0.889045   
5  	197  	0.569734  	2.12687   	1.56425   	0.498073   
6  	243  	0.123978  	1.04243   	0.72831   	0.303174   
7  	277  	0.0834806 	0.491532  	0.381837  	0.142547   
8  	307  	0.0834806 	0.317735  	0.145949  	0.0618173  
9  	340  	0.068015  	0.0990158 	0.0877311 	0.0104173  
10 	373  	0.0580232 	0.073974  	0.0688175 	0.00436732 
11 	407  	0.0326013 	0.0580232 	0.051779  	0.00818592 
12 	440  	0.0326013 	0.0428809 	0.0386584 	0.00370402 
13 	477  	0.0288095 	0.0326013 	0.0317834 	0.0012965  
14 	505  	0.0283942 	0.0310957 	0.0299075 	0.000856252
15 	527  	0.0275989 	0.0288095 	0.0284552 	0.000337387
16 	556  	0.0270383 	0.0283345 	0.0277338 	0.000456597
17 	580  	0.0262126 	0.0271278 	0.0268115 	0.000275141
18 	612  	0.0257506 	0.0264993 	0.0261973 	0.00024872 
19 	645  	0.0247822 	0.0257506 	0.0255401 	0.000349201
20 	681  	0.024732  	0.0255195 	0.025065  	0.000261013
21 	713  	0.0245953 	0.0249258 	0.0247723 	0.000112133
22 	745  	0.0243579 	0.0247188 	0.0246287 	9.79626e-05
23 	770  	0.0241655 	0.0245953 	0.0244421 	0.000131266
24 	800  	0.0237621 	0.0243579 	0.0241847 	0.000158739
25 	834  	0.0236586 	0.0241655 	0.0240277 	0.000199912
26 	870  	0.0234539 	0.0237547 	0.0236792 	9.17177e-05
27 	899  	0.0233574 	0.0236186 	0.0234992 	8.08928e-05
28 	933  	0.023323  	0.0234539 	0.0234105 	4.73032e-05
29 	963  	0.0232884 	0.0233699 	0.0233451 	2.40161e-05
30 	989  	0.0232884 	0.023323  	0.0233053 	1.55794e-05
31 	1014 	0.0232884 	0.0232884 	0.0232884 	3.29141e-18
32 	1044 	0.0232884 	0.0232884 	0.0232884 	2.68742e-18
33 	1070 	0.0232884 	0.0232884 	0.0232884 	0          
34 	1103 	0.0232884 	0.0232884 	0.0232884 	0          
35 	1134 	0.0232884 	0.0232884 	0.0232884 	0          
36 	1157 	0.0232884 	0.0232884 	0.0232884 	0          
37 	1183 	0.0232884 	0.0232884 	0.0232884 	0          
38 	1205 	0.0232884 	0.0232884 	0.0232884 	0          
39 	1224 	0.0232884 	0.0232884 	0.0232884 	0          
40 	1250 	0.0232884 	0.0232884 	0.0232884 	0          
41 	1280 	0.0232884 	0.0232884 	0.0232884 	0          
42 	1305 	0.0232884 	0.0232884 	0.0232884 	0          
43 	1334 	0.0232884 	0.0232884 	0.0232884 	0          
44 	1367 	0.0232884 	0.0232884 	0.0232884 	0          
45 	1391 	0.0232884 	0.0232884 	0.0232884 	0          
46 	1414 	0.0232884 	0.0232884 	0.0232884 	0          
47 	1433 	0.0232884 	0.0232884 	0.0232884 	0          
48 	1457 	0.0232884 	0.0232884 	0.0232884 	0          
49 	1479 	0.0232884 	0.0232884 	0.0232884 	0          
50 	1506 	0.0232884 	0.0232884 	0.0232884 	0          
51 	1534 	0.0232884 	0.0232884 	0.0232884 	0          
52 	1556 	0.0232884 	0.0232884 	0.0232884 	0          
53 	1582 	0.0232884 	0.0232884 	0.0232884 	0          
54 	1616 	0.0232884 	0.0232884 	0.0232884 	0          
55 	1634 	0.0232884 	0.0232884 	0.0232884 	0          
56 	1663 	0.0232884 	0.0232884 	0.0232884 	0          
57 	1687 	0.0232884 	0.0232884 	0.0232884 	0          
58 	1713 	0.0232884 	0.0232884 	0.0232884 	0          
59 	1739 	0.0232884 	0.0232884 	0.0232884 	0          
60 	1767 	0.0232884 	0.0232884 	0.0232884 	0          
61 	1788 	0.0232884 	0.0232884 	0.0232884 	0          
62 	1812 	0.00952222	0.0232884 	0.0219118 	0.00412986 
63 	1841 	0.00952222	0.0232884 	0.0163244 	0.00680412 
64 	1870 	0.00605646	0.00952222	0.00886054	0.00132522 
65 	1892 	0.00605646	0.00952222	0.00781483	0.00158533 
66 	1923 	0.00187835	0.00605646	0.00551419	0.00126748 
67 	1942 	0.00187835	0.00605646	0.00418072	0.00157896 
68 	1968 	0.00105781	0.00187835	0.00179629	0.00024616 
