Best Score: 0.0002306602898112399
Best Individual: Individual('d', [6.067488570155311e-09, -0.00023015495362511008])

History: 
gen	evals	min        	max        	avg        	std        
0  	10   	70.2144    	237.329    	149.634    	54.9227    
1  	46   	24.4183    	73.1933    	60.1329    	14.1869    
2  	86   	18.587     	37.0124    	26.8878    	6.648      
3  	122  	10.3595    	18.587     	14.7333    	3.10784    
4  	149  	4.40993    	10.2323    	8.22515    	1.69819    
5  	189  	3.37588    	5.66142    	4.79319    	0.660027   
6  	226  	0.548306   	3.81646    	2.91397    	1.04464    
7  	257  	0.213929   	2.83936    	1.41278    	0.738877   
8  	282  	0.213929   	1.02148    	0.558937   	0.329484   
9  	321  	0.0707336  	0.213929   	0.162761   	0.0541782  
10 	345  	0.0679532  	0.104138   	0.0823949  	0.0153732  
11 	373  	0.0329028  	0.0679532  	0.0543406  	0.0112009  
12 	403  	0.025561   	0.0410908  	0.0327704  	0.00489896 
13 	441  	0.0168218  	0.025561   	0.0222661  	0.00342126 
14 	476  	0.0132481  	0.0201672  	0.0183151  	0.0020781  
15 	507  	0.00539426 	0.0132481  	0.0102804  	0.00312318 
16 	544  	0.000991197	0.0062576  	0.00545988 	0.00152019 
17 	576  	0.00168127 	0.00535134 	0.00363039 	0.00156836 
18 	601  	0.00138148 	0.00171681 	0.00158238 	0.000132593
19 	622  	0.001309   	0.00140474 	0.00138586 	2.78692e-05
20 	653  	0.000733562	0.00138148 	0.00111735 	0.000207062
21 	686  	0.000348997	0.000809773	0.00069749 	0.000133207
22 	720  	0.000329725	0.0006145  	0.000477818	0.000111781
23 	749  	0.000320379	0.000348997	0.000338949	1.00352e-05
24 	774  	0.000271447	0.000329725	0.000314884	2.06423e-05
25 	803  	0.000264158	0.000303043	0.000282676	1.27624e-05
26 	820  	0.000255901	0.000271447	0.000269892	4.66371e-06
27 	847  	0.000237964	0.000271447	0.000259213	1.14124e-05
28 	872  	0.000231419	0.000244777	0.000241348	4.28924e-06
29 	894  	0.000231292	0.000237964	0.000235678	2.95899e-06
30 	920  	0.000231292	0.000231419	0.000231393	5.07734e-08
31 	947  	0.00023101 	0.000231292	0.000231235	9.58352e-08
32 	972  	0.000230854	0.00023101 	0.000230976	5.99906e-08
33 	1002 	0.000230719	0.000230868	0.000230829	4.91144e-08
34 	1036 	0.00023069 	0.000230758	0.000230739	2.03216e-08
35 	1058 	0.00023069 	0.000230728	0.000230706	1.73842e-08
36 	1083 	0.000230672	0.00023069 	0.000230687	5.34775e-09
37 	1111 	0.000230666	0.000230684	0.000230679	6.39757e-09
38 	1132 	0.000230662	0.000230672	0.000230667	3.28578e-09
39 	1164 	0.000230662	0.000230665	0.000230665	8.95766e-10
40 	1192 	0.000230662	0.000230665	0.000230664	1.07879e-09
41 	1221 	0.000230662	0.000230663	0.000230662	6.01325e-10
42 	1250 	0.000230661	0.000230662	0.000230662	2.88155e-10
43 	1276 	0.000230661	0.000230662	0.000230661	2.96601e-10
44 	1299 	0.000230661	0.000230661	0.000230661	2.98765e-10
45 	1329 	0.00023066 	0.000230661	0.000230661	1.14255e-10
46 	1341 	0.00023066 	0.00023066 	0.00023066 	6.40602e-11
47 	1361 	0.00023066 	0.00023066 	0.00023066 	1.09274e-11
48 	1389 	0.00023066 	0.00023066 	0.00023066 	1.66919e-11
49 	1411 	0.00023066 	0.00023066 	0.00023066 	3.2559e-12 
50 	1438 	0.00023066 	0.00023066 	0.00023066 	2.4561e-12 
51 	1461 	0.00023066 	0.00023066 	0.00023066 	2.5636e-12 
52 	1482 	0.00023066 	0.00023066 	0.00023066 	1.96835e-12
53 	1504 	0.00023066 	0.00023066 	0.00023066 	5.56894e-13
54 	1535 	0.00023066 	0.00023066 	0.00023066 	3.68223e-13
55 	1564 	0.00023066 	0.00023066 	0.00023066 	1.61211e-14
56 	1594 	0.00023066 	0.00023066 	0.00023066 	5.65126e-14
57 	1618 	0.00023066 	0.00023066 	0.00023066 	8.04682e-14
58 	1638 	0.00023066 	0.00023066 	0.00023066 	1.97033e-14
59 	1660 	0.00023066 	0.00023066 	0.00023066 	0          
60 	1690 	0.00023066 	0.00023066 	0.00023066 	5.21376e-20
61 	1715 	0.00023066 	0.00023066 	0.00023066 	4.77234e-20
62 	1744 	0.00023066 	0.00023066 	0.00023066 	2.71051e-20
63 	1766 	0.00023066 	0.00023066 	0.00023066 	2.57141e-20
64 	1788 	0.00023066 	0.00023066 	0.00023066 	8.57137e-21
65 	1817 	0.00023066 	0.00023066 	0.00023066 	0          
66 	1837 	0.00023066 	0.00023066 	0.00023066 	0          
67 	1863 	0.00023066 	0.00023066 	0.00023066 	0          
68 	1888 	0.00023066 	0.00023066 	0.00023066 	0          
69 	1905 	0.00023066 	0.00023066 	0.00023066 	0          
70 	1935 	0.00023066 	0.00023066 	0.00023066 	0          
71 	1958 	0.00023066 	0.00023066 	0.00023066 	0          
